frame,face_id,x1,y1,x2,y2
184,2,265,233,314,296
184,3,76,113,146,191
185,0,625,61,684,148
185,1,445,136,497,231
185,2,265,231,314,293
185,3,74,105,145,186
186,0,625,59,686,147
186,1,447,134,498,227
186,2,265,229,316,292
186,3,73,100,145,182
187,0,623,56,683,146
187,1,265,223,317,288
187,2,449,137,496,222
187,3,73,93,147,181
188,0,623,54,684,146
188,1,449,136,495,217
188,2,268,222,318,283
188,3,72,92,144,175
189,0,623,51,685,143
189,1,451,133,499,212
189,2,269,219,320,282
189,3,70,90,142,170
190,0,620,48,683,142
190,1,450,130,501,214
190,2,275,218,320,278
190,3,70,89,142,168
191,0,620,46,685,141
191,1,71,90,140,167
191,2,452,135,495,204
191,3,277,216,322,274
192,0,619,44,686,141
192,1,71,91,139,167
192,2,450,131,504,215
192,3,279,215,323,272
193,0,72,92,139,167
193,1,454,136,503,211
193,2,619,42,686,141
193,3,279,215,322,272
194,0,280,210,329,274
194,1,71,92,138,167
194,2,620,43,687,141
194,3,457,135,509,208
195,0,281,211,332,277
195,1,71,92,138,168
195,2,622,45,689,143
195,3,459,138,508,206
196,0,622,47,690,145
196,1,283,213,335,277
196,2,457,138,508,208
196,3,70,91,139,169
197,0,460,138,512,208
197,1,623,49,693,148
197,2,287,214,337,277
197,3,69,90,140,170
198,0,460,142,510,211
198,1,624,49,692,149
198,2,291,216,340,280
198,3,71,93,141,171
199,0,462,143,514,214
199,1,624,52,693,151
199,2,294,218,341,279
199,3,74,94,142,170
200,0,465,141,520,217
200,1,296,218,346,281
200,2,625,55,693,153
200,3,76,96,144,171
201,0,466,139,522,218
201,1,297,219,348,281
201,2,627,58,693,155
201,3,77,95,147,172
202,0,470,141,523,218
202,1,626,60,694,156
202,2,300,221,350,279
202,3,83,96,151,171
203,0,627,64,693,151
203,1,473,142,527,222
203,2,306,224,351,278
203,3,87,98,154,174
204,0,475,146,529,220
204,1,627,66,695,149
204,2,310,227,354,281
204,3,89,100,157,174
205,0,477,148,530,223
205,1,627,71,695,154
205,2,312,227,357,284
205,3,96,102,160,175
206,0,478,147,531,227
206,1,314,228,361,287
206,2,96,101,163,177
206,3,626,72,698,161
207,0,475,148,532,232
207,1,318,232,363,288
207,2,99,101,165,181
207,3,627,75,704,171
208,0,476,151,532,234
208,1,101,106,166,183
208,2,325,232,369,287
208,3,632,81,708,174
209,0,104,108,166,186
209,1,327,233,371,289
209,2,635,79,714,183
210,0,637,94,702,183
210,1,108,113,168,190
210,2,331,234,375,290
211,0,108,116,170,194
211,1,637,101,703,189
211,2,333,236,378,292
212,0,638,105,706,191
212,1,110,118,170,194
212,2,337,238,382,294
213,0,640,106,710,196
213,1,110,120,173,195
213,2,342,239,385,295
214,0,641,111,711,200
214,1,344,238,388,295
214,2,112,122,175,197
215,0,645,112,713,202
215,1,114,123,177,202
215,2,348,239,392,294
216,0,649,116,718,204
216,1,116,124,180,203
216,2,351,239,394,294
217,0,651,119,718,203
217,1,115,123,181,204
217,2,354,237,398,292
218,0,653,120,721,203
218,1,118,126,183,204
218,2,359,234,402,289
219,0,654,120,724,203
219,1,120,129,185,207
219,2,363,233,405,288
220,0,121,132,187,209
220,1,657,120,727,204
220,2,366,233,409,287
221,0,661,119,729,204
221,1,124,134,189,210
221,2,371,233,413,283
222,0,665,119,733,202
222,1,124,135,190,212
222,2,375,228,418,283
223,0,668,120,735,201
223,1,125,136,191,214
223,2,377,226,423,283
224,0,127,139,192,214
224,1,670,118,738,200
224,2,380,227,425,283
224,3,0,67,42,160
225,0,131,144,193,216
225,1,671,119,740,201
225,2,0,67,46,160
225,3,386,228,430,284
226,0,131,145,194,219
226,1,673,119,744,202
226,2,0,73,49,166
226,3,390,228,434,283
227,0,675,118,747,204
227,1,133,149,196,223
227,2,392,226,437,282
227,3,0,77,53,173
228,0,679,119,751,203
228,1,135,150,198,224
228,2,394,226,439,283
228,3,0,80,55,180
229,0,681,120,752,204
229,1,139,151,201,224
229,2,0,85,61,185
229,3,398,229,443,285
230,0,683,120,754,205
230,1,143,154,205,225
230,2,3,90,67,193
230,3,404,232,445,284
231,0,684,121,757,207
231,1,144,153,209,228
231,2,5,98,73,196
231,3,407,232,449,285
232,0,685,121,759,204
232,1,409,232,452,285
232,2,5,108,77,204
232,3,147,155,212,231
233,0,686,121,762,205
233,1,6,117,81,207
233,2,413,235,455,287
233,3,150,157,214,233
234,0,686,120,765,206
234,1,9,128,84,219
234,2,157,161,219,233
234,3,415,236,455,286
235,0,688,118,767,205
235,1,11,135,88,221
235,2,164,163,223,233
235,3,421,240,463,292
236,0,690,119,769,205
236,1,17,139,89,224
236,2,166,162,228,236
236,3,424,244,467,297
237,0,692,120,771,205
237,1,18,141,94,229
237,2,427,246,470,299
237,3,172,167,231,236
238,0,692,118,774,207
238,1,22,143,101,230
238,2,430,248,472,299
238,3,180,170,236,236
239,0,25,146,103,232
239,1,694,119,775,208
239,2,546,158,591,236
239,3,435,250,476,302
239,4,183,169,241,238
240,0,30,148,108,231
240,1,696,117,779,209
240,2,552,157,605,242
241,0,39,147,115,230
241,1,559,164,605,242
241,2,699,117,782,209
242,0,44,149,120,229
242,1,702,116,784,206
242,2,561,167,606,243
242,3,199,166,257,233
243,0,50,149,125,229
243,1,708,114,786,204
243,2,568,166,614,246
244,0,56,150,131,229
244,1,713,110,793,204
244,2,573,167,616,241
245,0,720,110,795,199
245,1,60,149,136,239
246,0,69,150,141,235
246,1,723,103,801,198
247,0,727,100,803,193
247,1,76,150,147,225
248,0,89,158,153,233
248,1,731,93,809,189
249,0,92,163,157,238
249,1,735,86,810,182
250,0,90,169,157,243
251,0,99,174,160,244
251,1,745,79,814,171
252,0,105,175,165,248
252,1,245,155,299,222
253,0,245,152,306,227
253,1,112,180,170,248
254,0,252,156,309,228
255,0,256,155,314,229
256,0,263,155,322,229
257,0,267,157,327,233
257,1,117,181,188,251
258,0,272,157,333,231
258,1,124,184,197,253
259,0,279,161,338,232
259,1,136,186,205,258
260,0,287,164,345,238
260,1,138,184,212,255
260,2,539,243,583,298
261,0,295,167,351,235
261,1,148,186,214,255
261,2,543,240,589,299
262,0,298,168,358,243
262,1,154,184,223,255
262,2,552,242,593,298
263,0,164,183,231,255
263,1,306,173,363,245
